2025-09-29 10:46:02.794 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:46:02.794 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:46:02.794 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:48:14.978 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[0]未指定煤种和比例，跳过
2025-09-29 10:48:14.978 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:48:14.979 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:48:14.979 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:48:14.979 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:48:14.979 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:48:32.539 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:48:32.539 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:48:32.539 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:48:32.539 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:48:32.539 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:49:30.072 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:49:30.072 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:49:30.073 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:49:30.073 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:49:30.073 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:51:12.610 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:51:12.611 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:51:12.611 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:51:12.611 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:51:12.611 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:52:32.044 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:52:32.044 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:52:32.044 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:52:32.044 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:52:32.045 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:53:22.736 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:53:22.736 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:53:22.736 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:53:22.736 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:53:22.736 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:54:11.877 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:54:11.878 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:54:11.878 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:54:11.878 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:54:11.878 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:54:35.205 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:54:35.206 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:54:35.206 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:54:35.206 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:54:35.206 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[5]未指定煤种和比例，跳过
